product_id,product_name,category,price
1,iPhone 14 Pro,Laptop,599
2,MacBook Pro 14-inch,Accessory,799
3,AirPods Max,Laptop,999
4,MacBook Pro 14-inch,Accessory,999
5,AirPods Max,Tablet,999
6,iPad Air,Accessory,1999
7,iPhone 14 Pro,Smartphone,799
8,iPad Air,Tablet,1999
9,AirPods Max,Laptop,1999
10,iPhone 14 Pro,Tablet,1999
11,iPad Air,Smartphone,599
12,AirPods Max,Smartphone,549
13,iPhone 14 Pro,Laptop,999
14,MacBook Pro 14-inch,Smartphone,1999
15,AirPods Max,Smartphone,799
16,iPad Air,Laptop,799
17,iPhone 14,Tablet,599
18,iPhone 14 Pro,Smartphone,799
19,iPhone 14 Pro,Smartphone,1999
20,iPhone 14 Pro,Laptop,1999
21,iPhone 14 Pro,Smartphone,799
22,MacBook Pro 14-inch,Laptop,799
23,AirPods Max,Laptop,549
24,AirPods Max,Smartphone,1999
25,MacBook Pro 14-inch,Smartphone,549
26,iPhone 14 Pro,Smartphone,799
27,iPhone 14 Pro,Tablet,799
28,MacBook Pro 14-inch,Smartphone,999
29,iPad Air,Tablet,599
30,iPhone 14 Pro,Smartphone,999
31,iPad Air,Tablet,1999
32,MacBook Pro 14-inch,Smartphone,799
33,iPhone 14,Laptop,999
34,MacBook Pro 14-inch,Laptop,549
35,iPhone 14,Smartphone,799
36,iPhone 14,Smartphone,799
37,iPad Air,Laptop,999
38,iPhone 14,Laptop,799
39,AirPods Max,Accessory,999
40,iPhone 14 Pro,Smartphone,549
41,iPhone 14,Smartphone,599
42,AirPods Max,Laptop,549
43,AirPods Max,Laptop,999
44,AirPods Max,Tablet,999
45,iPad Air,Accessory,599
46,iPhone 14,Smartphone,549
47,iPad Air,Tablet,799
48,MacBook Pro 14-inch,Smartphone,799
49,iPhone 14 Pro,Tablet,549
50,iPhone 14,Tablet,549
51,iPhone 14 Pro,Tablet,1999
52,iPhone 14 Pro,Laptop,799
53,MacBook Pro 14-inch,Accessory,599
54,MacBook Pro 14-inch,Laptop,599
55,iPad Air,Smartphone,599
56,AirPods Max,Accessory,999
57,MacBook Pro 14-inch,Tablet,799
58,iPhone 14,Smartphone,999
59,iPhone 14 Pro,Smartphone,1999
60,AirPods Max,Smartphone,599
61,iPhone 14 Pro,Smartphone,799
62,MacBook Pro 14-inch,Accessory,999
63,iPad Air,Accessory,549
64,AirPods Max,Smartphone,799
65,iPhone 14 Pro,Smartphone,1999
66,AirPods Max,Smartphone,599
67,iPad Air,Accessory,999
68,AirPods Max,Tablet,599
69,iPhone 14,Tablet,599
